"BehaviorSpace results (NetLogo 7.0.3)","Spreadsheet version 2.0"
"turti8 preprof.nlogox"
"Exp_4"
"05/06/2026 11:00:59:683 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","6","6","6","6","6","6","6","6","7","7","7","7","7","7","7","7","8","8","8","8","8","8","8","8","9","9","9","9","9","9","9","9","10","10","10","10","10","10","10","10","11","11","11","11","11","11","11","11","12","12","12","12","12","12","12","12","13","13","13","13","13","13","13","13","14","14","14","14","14","14","14","14","15","15","15","15","15","15","15","15","16","16","16","16","16","16","16","16","17","17","17","17","17","17","17","17","18","18","18","18","18","18","18","18","19","19","19","19","19","19","19","19","20","20","20","20","20","20","20","20","21","21","21","21","21","21","21","21","22","22","22","22","22","22","22","22","23","23","23","23","23","23","23","23","24","24","24","24","24","24","24","24","25","25","25","25","25","25","25","25","26","26","26","26","26","26","26","26","27","27","27","27","27","27","27","27","28","28","28","28","28","28","28","28","29","29","29","29","29","29","29","29","30","30","30","30","30","30","30","30"
"preset-scenario","Exp 4: Stubborn, Random, Short",,,,,,,,"Exp 4: Stubborn, Random, Short",,,,,,,,"Exp 4: Stubborn, Random, Short",,,,,,,,"Exp 4: Stubborn, Random, Short",,,,,,,,"Exp 4: Stubborn, Random, Short",,,,,,,,"Exp 4: Stubborn, Random, Short",,,,,,,,"Exp 4: Stubborn, Random, Short",,,,,,,,"Exp 4: Stubborn, Random, Short",,,,,,,,"Exp 4: Stubborn, Random, Short",,,,,,,,"Exp 4: Stubborn, Random, Short",,,,,,,,"Exp 4: Stubborn, Random, Short",,,,,,,,"Exp 4: Stubborn, Random, Short",,,,,,,,"Exp 4: Stubborn, Random, Short",,,,,,,,"Exp 4: Stubborn, Random, Short",,,,,,,,"Exp 4: Stubborn, Random, Short",,,,,,,,"Exp 4: Stubborn, Random, Short",,,,,,,,"Exp 4: Stubborn, Random, Short",,,,,,,,"Exp 4: Stubborn, Random, Short",,,,,,,,"Exp 4: Stubborn, Random, Short",,,,,,,,"Exp 4: Stubborn, Random, Short",,,,,,,,"Exp 4: Stubborn, Random, Short",,,,,,,,"Exp 4: Stubborn, Random, Short",,,,,,,,"Exp 4: Stubborn, Random, Short",,,,,,,,"Exp 4: Stubborn, Random, Short",,,,,,,,"Exp 4: Stubborn, Random, Short",,,,,,,,"Exp 4: Stubborn, Random, Short",,,,,,,,"Exp 4: Stubborn, Random, Short",,,,,,,,"Exp 4: Stubborn, Random, Short",,,,,,,,"Exp 4: Stubborn, Random, Short",,,,,,,,"Exp 4: Stubborn, Random, Short",,,,,,,
"[total steps]","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000"

"[final value]","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)"
,"1000","5400","73","90","-1","0","0","0.015476190476190475","1000","5327","124","69","-1","0","0","0.024715197083618134","1000","5322","215","77","-1","0","0","0.01869539551357733","1000","5349","113","70","-1","0","0","0.025399449035812673","1000","5412","100","70","-1","0","0","0.013049980322707594","1000","5288","121","81","-1","0","0","0.021066335625159156","1000","5350","82","78","-1","0","0","0.006389721389721389","1000","5412","125","88","-1","0","0","0.020707070707070705","1000","5446","130","68","-1","0","0","0.015194805194805195","1000","5297","176","64","-1","0","0","0.01968622286804105","1000","5296","122","71","-1","0","0","0.025808080808080804","1000","5414","126","52","-1","0","0","0.012577725304998033","1000","5413","94","92","-1","0","0","0.018210678210678212","1000","5287","106","80","-1","0","0","0.010116550116550117","1000","5309","99","62","-1","0","0","0.002251082251082251","1000","5341","137","79","182","0","0","0.0024963924963924966","1000","5428","122","69","-1","0","0","0.05593073593073593","1000","5366","125","82","-1","0","0","0.0022005772005772003","1000","5408","45","69","-1","0","0","0.024862258953168043","1000","5380","92","89","-1","0","0","0.0032845941936851027","1000","5398","127","71","-1","0","0","0.010202020202020202","1000","5333","126","74","-1","0","0","0.016174734356552537","1000","5502","121","84","-1","0","0","0.0035797535797535795","1000","5411","135","78","-1","0","0","0.01322011322011322","1000","5450","98","60","-1","0","0","0.010086580086580086","1000","5295","119","69","-1","0","0","0","1000","5315","168","69","-1","0","0","0.01137085137085137","1000","5344","155","82","-1","0","0","0.030955710955710956","1000","5359","119","62","-1","0","0","0.013411588411588413","1000","5342","192","72","-1","0","0","0.014826839826839825"
