"BehaviorSpace results (NetLogo 7.0.3)","Spreadsheet version 2.0"
"turti8 preprof.nlogox"
"Exp_3"
"05/06/2026 11:00:08:943 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","6","6","6","6","6","6","6","6","7","7","7","7","7","7","7","7","8","8","8","8","8","8","8","8","9","9","9","9","9","9","9","9","10","10","10","10","10","10","10","10","11","11","11","11","11","11","11","11","12","12","12","12","12","12","12","12","13","13","13","13","13","13","13","13","14","14","14","14","14","14","14","14","15","15","15","15","15","15","15","15","16","16","16","16","16","16","16","16","17","17","17","17","17","17","17","17","18","18","18","18","18","18","18","18","19","19","19","19","19","19","19","19","20","20","20","20","20","20","20","20","21","21","21","21","21","21","21","21","22","22","22","22","22","22","22","22","23","23","23","23","23","23","23","23","24","24","24","24","24","24","24","24","25","25","25","25","25","25","25","25","26","26","26","26","26","26","26","26","27","27","27","27","27","27","27","27","28","28","28","28","28","28","28","28","29","29","29","29","29","29","29","29","30","30","30","30","30","30","30","30"
"preset-scenario","Exp 3: Adaptive, Random, Short",,,,,,,,"Exp 3: Adaptive, Random, Short",,,,,,,,"Exp 3: Adaptive, Random, Short",,,,,,,,"Exp 3: Adaptive, Random, Short",,,,,,,,"Exp 3: Adaptive, Random, Short",,,,,,,,"Exp 3: Adaptive, Random, Short",,,,,,,,"Exp 3: Adaptive, Random, Short",,,,,,,,"Exp 3: Adaptive, Random, Short",,,,,,,,"Exp 3: Adaptive, Random, Short",,,,,,,,"Exp 3: Adaptive, Random, Short",,,,,,,,"Exp 3: Adaptive, Random, Short",,,,,,,,"Exp 3: Adaptive, Random, Short",,,,,,,,"Exp 3: Adaptive, Random, Short",,,,,,,,"Exp 3: Adaptive, Random, Short",,,,,,,,"Exp 3: Adaptive, Random, Short",,,,,,,,"Exp 3: Adaptive, Random, Short",,,,,,,,"Exp 3: Adaptive, Random, Short",,,,,,,,"Exp 3: Adaptive, Random, Short",,,,,,,,"Exp 3: Adaptive, Random, Short",,,,,,,,"Exp 3: Adaptive, Random, Short",,,,,,,,"Exp 3: Adaptive, Random, Short",,,,,,,,"Exp 3: Adaptive, Random, Short",,,,,,,,"Exp 3: Adaptive, Random, Short",,,,,,,,"Exp 3: Adaptive, Random, Short",,,,,,,,"Exp 3: Adaptive, Random, Short",,,,,,,,"Exp 3: Adaptive, Random, Short",,,,,,,,"Exp 3: Adaptive, Random, Short",,,,,,,,"Exp 3: Adaptive, Random, Short",,,,,,,,"Exp 3: Adaptive, Random, Short",,,,,,,,"Exp 3: Adaptive, Random, Short",,,,,,,
"[total steps]","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000"

"[final value]","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)","[step]","total-delivered-value","total-seized-value","count links","first-yellow-tick","count links with [color = yellow]","(sum [flow-count] of links with [color = yellow]) / (sum [flow-count] of links + 0.0001)","(mean [nw:clustering-coefficient] of nodes)"
,"1000","5379","102","92","6","6","0.12389375048949093","0.025974580974580976","1000","5315","75","80","464","6","0.06211176266350145","0.04042830906467271","1000","5428","55","74","637","1","0","0.017176308539944903","1000","5428","127","89","4","11","0.06185563821874319","0.04824561403508772","1000","5335","124","78","275","7","0.04102561998686154","0.03408369408369409","1000","5378","112","62","812","0","0","0.045858585858585856","1000","5442","137","78","283","19","0.30057786093765265","0.02398137216319034","1000","5335","156","69","92","12","0.13297865267092943","0.015007215007215009","1000","5303","109","86","6","1","0","0.02390791027154663","1000","5310","150","54","8","9","0.1333332592593004","0.02604365331638059","1000","5373","85","81","635","1","0","0.006919191919191919","1000","5270","135","85","27","17","0.1233765432619849","0.05269119769119769","1000","5381","117","88","184","12","0.0892856744260382","0.03255411255411255","1000","5469","97","73","93","2","0.02525251249873106","0.014271284271284271","1000","5382","119","83","273","9","0.09090904958679565","0.00971205562114653","1000","5318","135","73","5","8","0.0899999550000225","0.030685677958405235","1000","5300","122","78","272","12","0.06842101662051757","0.04062967335694608","1000","5360","151","85","182","14","0.13903735880355145","0.049287026105207916","1000","5332","168","75","93","13","0.11458327365454497","0.015073108709472345","1000","5344","175","91","275","27","0.2336447506332941","0.04101534828807556","1000","5252","158","88","5","33","0.19545445661161062","0.05936881300517665","1000","5322","195","76","5","24","0.165680375337056","0.032041847041847045","1000","5320","159","81","92","16","0.10454540702481499","0.0487012987012987","1000","5331","118","80","92","1","0.018867917408333056","0.004710743801652892","1000","5335","154","90","547","14","0.14285706727139297","0.08618003208912299","1000","5366","128","66","124","9","0.08860753885598806","0.029985569985569983","1000","5277","103","64","281","6","0.041450755724997033","0.014444444444444444","1000","5395","149","77","385","14","0.17751468786113145","0.052312081857536406","1000","5223","127","80","12","5","0.02808987185962255","0.024879009879009886","1000","5373","120","78","95","5","0.06593402970657708","0.04081529581529582"
