"experiment","run","step","total_delivered_value","total_seized_value","count_links","first_yellow_tick","count_links_with_color_yellow","seizure_rate_pct","yellow_link_rate_pct","drug_through_yellow_rate_pct","clustering_rate_pct","never_adapted","cartel_type","enforcement_target","enforcement_duration"
"Exp8_Stubborn_Random_Long",17,1000,4757,768,63,453,8,13.9,12.7,14.16,1.35,FALSE,"Stubborn","Random","Long"
"Exp8_Stubborn_Random_Long",18,1000,5001,428,67,-1,0,7.88,0,0,2.12,TRUE,"Stubborn","Random","Long"
"Exp8_Stubborn_Random_Long",19,1000,4890,515,61,183,4,9.53,6.56,5.93,1.19,FALSE,"Stubborn","Random","Long"
"Exp8_Stubborn_Random_Long",20,1000,4778,704,72,996,1,12.84,1.39,0,0.84,FALSE,"Stubborn","Random","Long"
"Exp8_Stubborn_Random_Long",21,1000,4707,713,72,737,6,13.15,8.33,4.39,1.96,FALSE,"Stubborn","Random","Long"
"Exp8_Stubborn_Random_Long",22,1000,4949,594,72,634,12,10.72,16.67,9.57,2.74,FALSE,"Stubborn","Random","Long"
"Exp8_Stubborn_Random_Long",23,1000,4722,761,53,464,9,13.88,16.98,14.75,1,FALSE,"Stubborn","Random","Long"
"Exp8_Stubborn_Random_Long",24,1000,5127,373,78,452,2,6.78,2.56,1.46,2.27,FALSE,"Stubborn","Random","Long"
"Exp8_Stubborn_Random_Long",25,1000,5053,426,62,-1,0,7.78,0,0,0.38,TRUE,"Stubborn","Random","Long"
"Exp8_Stubborn_Random_Long",26,1000,4878,524,62,904,1,9.7,1.61,0,0.38,FALSE,"Stubborn","Random","Long"
"Exp8_Stubborn_Random_Long",27,1000,5028,445,59,580,3,8.13,5.08,0,4.04,FALSE,"Stubborn","Random","Long"
"Exp8_Stubborn_Random_Long",28,1000,4820,581,76,633,7,10.76,9.21,6.42,3.83,FALSE,"Stubborn","Random","Long"
"Exp8_Stubborn_Random_Long",29,1000,4920,536,69,457,1,9.82,1.45,0.49,0.68,FALSE,"Stubborn","Random","Long"
"Exp8_Stubborn_Random_Long",30,1000,5063,464,68,995,1,8.4,1.47,0.69,2.58,FALSE,"Stubborn","Random","Long"
